Section,Required object,Search terms used,Source,Exact category,Asset ID/path,Static/articulated,Visual quality,Collision quality,Required modification,Recommended action,Confidence
BUILDING AND ARCHITECTURE,Industrial window,"industrial window, industrial windows",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
BUILDING AND ARCHITECTURE,Large window,"large window, large windows",ObjectThor,wall_objects,034a55900ff34906ba700c4dc3360368,Static ObjectThor payload,A large window with a brown set of blinds.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
BUILDING AND ARCHITECTURE,Factory window,"factory window, factory windows",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
BUILDING AND ARCHITECTURE,Clerestory window,"clerestory window, clerestory windows",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
BUILDING AND ARCHITECTURE,Frosted window,"frosted window, frosted windows",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
BUILDING AND ARCHITECTURE,Exterior door,"exterior door, exterior doors",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
BUILDING AND ARCHITECTURE,Interior door,"interior door, interior doors",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
BUILDING AND ARCHITECTURE,Double entrance door,"double entrance door, double entrance doors",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
BUILDING AND ARCHITECTURE,Sliding door,"sliding door, sliding doors",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
BUILDING AND ARCHITECTURE,Cold-room door,"cold room door, cold room doors",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
BUILDING AND ARCHITECTURE,Roll-up door,"roll up door, roll up doors, garage door, overhead door",ObjectThor,wall_objects,8668a2b3e5e743248b3fd64fb6246a0a,Static ObjectThor payload,A corrugated metal garage door.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
BUILDING AND ARCHITECTURE,Loading dock door,"loading dock door, loading dock doors",ObjectThor,wall_objects,8668a2b3e5e743248b3fd64fb6246a0a,Static ObjectThor payload,A corrugated metal garage door.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
BUILDING AND ARCHITECTURE,Loading platform,"loading platform, loading platforms",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
BUILDING AND ARCHITECTURE,Dock leveller,"dock leveller, dock levellers",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
BUILDING AND ARCHITECTURE,Safety bollard,"safety bollard, safety bollards",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
BUILDING AND ARCHITECTURE,Wall partition,"wall partition, wall partitions",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
BUILDING AND ARCHITECTURE,Toilet partition,"toilet partition, toilet partitions",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
BUILDING AND ARCHITECTURE,Floor drain,"floor drain, floor drains",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
BUILDING AND ARCHITECTURE,Ventilation grille,"ventilation grille, ventilation grilles",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
BUILDING AND ARCHITECTURE,Ceiling duct,"ceiling duct, ceiling ducts",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
BUILDING AND ARCHITECTURE,Industrial light,"industrial light, industrial lights",ObjectThor,wall_objects,a1585e9d534d42d78d12d56e71aa15ed,Static ObjectThor payload,A wall light with a wood base.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
